formula_id,texapon_sb_3_kc_pct,plantapon_acg_50_pct,plantapon_lc_7_pct,plantacare_818_pct,plantacare_2000_pct,dehyton_mc_pct,dehyton_pk_45_pct,dehyton_ml_pct,dehyton_ab_30_pct,plantapon_amino_scg_l_pct,plantapon_amino_kg_l_pct,dehyquart_a_ca_pct,luviquat_excellence_pct,dehyquart_cc6_pct,dehyquart_cc7_benz_pct,salcare_super_7_pct,arlypon_f_pct,arlypon_tt_pct,water_pct,is_stable,turbidity_ntu,turbidity_error,viscosity_category,rheology_type
33,0.0,0.0,12.14,0.0,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,4.82,69.25,1,1065.0,878.0,HIGH,SHEAR-THIN
34,0.0,0.0,9.01,0.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,2.19,77.63,0,,,,
35,0.0,0.0,13.11,0.0,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,3.59,71.09,0,,,,
36,0.0,0.0,9.16,0.0,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,5.08,73.86,0,,,,
37,6.69,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,2.67,79.11,0,,,,
38,12.24,0.0,9.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.97,76.07,0,,,,
39,12.12,0.0,0.0,11.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,3.44,71.31,0,,,,
40,7.7,0.0,0.0,0.0,10.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,4.77,74.37,0,,,,
41,7.58,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,2.16,79.97,0,,,,
42,12.19,0.0,0.0,0.0,0.0,0.0,12.32,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,2.59,71.95,0,,,,
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44,8.12,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2.25,76.21,0,,,,
44,9.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.17,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,2.84,75.07,0,,,,
45,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,2.11,0.0,0.0,0.0,0.0,4.19,75.77,0,,,,
46,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,0.0,1.75,0.0,0.0,0.0,0.0,5.17,71.77,0,,,,
47,7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,2.53,0.0,0.0,0.0,0.0,4.71,75.18,0,,,,
48,0.0,10.9,9.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,3.32,73.33,0,,,,
49,0.0,8.25,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,3.19,79.45,0,,,,
50,0.0,8.55,0.0,0.0,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,4.82,73.33,0,,,,
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,0.0,10.27,2.73,0.0,0.0,0.0,0.0,4.03,72.39,0,,,,
52,0.0,8.33,0.0,0.0,0.0,0.0,12.09,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,2.32,75.93,1,37.0,17.0,VERY-LOW,NEWTONIAN
53,0.0,10.27,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,2.85,78.1,0,,,,
54,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.0,12.32,0.0,0.0,0.0,2.69,0.0,0.0,0.0,0.0,4.27,72.36,0,,,,
55,0.0,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,2.58,0.0,0.0,0.0,0.0,3.38,70.27,0,,,,
56,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.0,2.57,0.0,0.0,0.0,0.0,3.05,73.06,0,,,,
57,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,2.02,0.0,0.0,0.0,0.0,2.3,77.26,0,,,,
58,0.0,0.0,11.52,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,4.36,73.81,0,,,,
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57,10.58,1.71,0.0,0.0,0.0,0.0,3.03,75.11,0,,,,
60,0.0,0.0,9.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,3.74,76.69,0,,,,
61,0.0,0.0,12.1,0.0,0.0,0.0,7.86,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,1.57,76.94,0,,,,
62,0.0,0.0,12.12,0.0,0.0,0.0,0.0,8.03,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,1.45,76.09,0,,,,
63,0.0,0.0,11.88,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,2.91,71.3,1,153.0,15.0,LOW,NEWTONIAN
64,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22,0.0,0.0,1.36,0.0,0.0,0.0,0.0,4.85,76.57,0,,,,
65,0.0,0.0,13.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.51,0.0,1.93,0.0,0.0,0.0,0.0,3.46,70.05,0,,,,
66,0.0,0.0,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,2.46,0.0,0.0,0.0,0.0,2.31,72.27,0,,,,
67,0.0,0.0,0.0,9.36,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,2.74,73.8,1,19.0,0.0,MEDIUM,NEWTONIAN
68,0.0,0.0,0.0,12.84,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,3.17,71.41,0,,,,
69,0.0,0.0,0.0,9.23,0.0,0.0,8.61,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.4,78.66,0,,,,
70,0.0,0.0,0.0,10.14,0.0,0.0,0.0,10.88,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,3.71,73.6,0,,,,
71,0.0,0.0,0.0,10.66,0.0,0.0,0.0,0.0,8.01,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,4.69,75.01,0,,,,
72,0.0,0.0,0.0,10.63,0.0,0.0,0.0,0.0,0.0,9.67,0.0,0.0,1.84,0.0,0.0,0.0,0.0,2.65,75.21,0,,,,
73,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,10.05,0.0,2.17,0.0,0.0,0.0,0.0,4.47,72.11,0,,,,
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,11.98,0.0,1.45,0.0,0.0,0.0,0.0,4.83,73.64,0,,,,
75,0.0,0.0,0.0,0.0,8.64,9.05,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,2.35,76.93,0,,,,
76,0.0,0.0,0.0,0.0,13.91,0.0,8.12,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.63,72.94,0,,,,
77,0.0,0.0,0.0,0.0,9.44,0.0,0.0,9.9,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,3.46,74.22,0,,,,
78,0.0,0.0,0.0,0.0,10.18,0.0,0.0,0.0,9.29,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,1.93,77.29,0,,,,
79,0.0,0.0,0.0,0.0,8.95,0.0,0.0,0.0,0.0,9.87,0.0,0.0,2.46,0.0,0.0,0.0,0.0,3.05,75.67,0,,,,
80,0.0,0.0,0.0,0.0,8.45,0.0,0.0,0.0,0.0,0.0,8.76,0.0,1.7,0.0,0.0,0.0,0.0,3.06,78.03,0,,,,
81,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,11.02,2.15,0.0,0.0,0.0,0.0,1.63,73.6,0,,,,
82,0.0,0.0,0.0,0.0,0.0,11.27,9.11,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,3.43,74.07,0,,,,
83,0.0,0.0,0.0,0.0,0.0,9.13,0.0,9.8,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,2.59,75.4,0,,,,
84,0.0,0.0,0.0,0.0,0.0,9.48,0.0,0.0,8.56,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,4.37,76.12,0,,,,
85,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,11.66,0.0,0.0,1.8,0.0,0.0,0.0,0.0,3.89,71.25,0,,,,
86,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12.37,0.0,1.19,0.0,0.0,0.0,0.0,2.27,75.17,0,,,,
87,0.0,0.0,0.0,0.0,0.0,11.49,0.0,0.0,0.0,0.0,0.0,9.68,1.08,0.0,0.0,0.0,0.0,3.23,74.52,0,,,,
88,0.0,0.0,0.0,0.0,0.0,0.0,11.86,6.3,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,4.34,74.68,0,,,,
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56,0.0,0.0,8.63,2.04,0.0,0.0,0.0,0.0,4.28,73.49,0,,,,
90,0.0,0.0,0.0,0.0,0.0,0.0,12.41,0.0,0.0,13.07,0.0,0.0,2.49,0.0,0.0,0.0,0.0,2.57,69.46,0,,,,
91,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,12.62,0.0,1.93,0.0,0.0,0.0,0.0,3.74,68.91,0,,,,
92,0.0,0.0,0.0,0.0,0.0,0.0,11.23,0.0,0.0,0.0,0.0,10.15,1.06,0.0,0.0,0.0,0.0,3.94,73.62,0,,,,
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46,13.11,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,4.67,73.11,0,,,,
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,11.63,0.0,0.0,1.15,0.0,0.0,0.0,0.0,4.11,74.11,0,,,,
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,0.0,0.0,12.17,0.0,2.66,0.0,0.0,0.0,0.0,1.73,73.38,0,,,,
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,8.64,2.77,0.0,0.0,0.0,0.0,2.22,76.27,0,,,,
