,phytantriol_pct,soy_lecithin_pct,cct_pct,hydration_ratio,stickiness_score_0_10,oiliness_score_0_10,consistency_index
phytantriol_pct,1.0,-0.12132950305720581,-0.021623017350615434,-0.12132950305720594,-0.09401829476368966,-0.06700585654834733,0.4071925599309764
soy_lecithin_pct,-0.12132950305720581,1.0,0.1315301627338118,1.0,0.7402558526577722,0.747227841741005,0.8571903517702399
cct_pct,-0.021623017350615434,0.1315301627338118,1.0,0.13153016273381235,-0.24943793335130462,0.07984540092688622,0.10980744408820535
hydration_ratio,-0.12132950305720594,1.0,0.13153016273381235,1.0,0.7402558526577714,0.7472278417410049,0.8571903517702391
stickiness_score_0_10,-0.09401829476368966,0.7402558526577722,-0.24943793335130462,0.7402558526577714,1.0,0.8332875856209154,0.6323593029922098
oiliness_score_0_10,-0.06700585654834733,0.747227841741005,0.07984540092688622,0.7472278417410049,0.8332875856209154,1.0,0.6527894456461716
consistency_index,0.4071925599309764,0.8571903517702399,0.10980744408820535,0.8571903517702391,0.6323593029922098,0.6527894456461716,1.0
